match_id,candidate_id,advisor_id,preference_order,status,match_type,match_date
P0001,676,L015,1,待确认,志愿匹配,
P0002,676,L016,2,待确认,志愿匹配,
P0003,676,L017,3,待确认,志愿匹配,
P0004,301,L001,1,待确认,志愿匹配,
P0005,301,L002,2,待确认,志愿匹配,
P0006,301,L003,3,待确认,志愿匹配,
P0007,528,L004,1,待确认,志愿匹配,
P0008,528,L005,2,待确认,志愿匹配,
P0009,528,L006,3,待确认,志愿匹配,
P0010,891,L007,1,待确认,志愿匹配,
P0011,891,L008,2,待确认,志愿匹配,
P0012,891,L009,3,待确认,志愿匹配,
P0013,911,L010,1,待确认,志愿匹配,
P0014,911,L011,2,待确认,志愿匹配,
P0015,911,L012,3,待确认,志愿匹配,
P0016,492,X001,1,待确认,志愿匹配,
P0017,492,X002,2,待确认,志愿匹配,
P0018,492,X003,3,待确认,志愿匹配,
P0019,900,X018,1,待确认,志愿匹配,
P0020,900,X019,2,待确认,志愿匹配,
P0021,900,X020,3,待确认,志愿匹配,
P0022,744,X015,1,待确认,志愿匹配,
P0023,744,X016,2,待确认,志愿匹配,
P0024,744,X017,3,待确认,志愿匹配,
P0025,923,X002,1,待确认,志愿匹配,
P0026,923,X003,2,待确认,志愿匹配,
P0027,923,X004,3,待确认,志愿匹配,
P0028,316,S001,1,待确认,志愿匹配,
P0029,316,S002,2,待确认,志愿匹配,
P0030,316,S003,3,待确认,志愿匹配,
P0031,169,S007,1,待确认,志愿匹配,
P0032,169,S008,2,待确认,志愿匹配,
P0033,169,S009,3,待确认,志愿匹配,
P0034,391,S004,1,待确认,志愿匹配,
P0035,391,S005,2,待确认,志愿匹配,
P0036,391,S006,3,待确认,志愿匹配,
P0037,529,X003,1,待确认,志愿匹配,
P0038,539,X001,2,待确认,志愿匹配,
P0039,529,X002,3,待确认,志愿匹配,
P0040,240,L018,1,待确认,志愿匹配,
P0041,240,L020,2,待确认,志愿匹配,
P0042,240,L019,3,待确认,志愿匹配,
P0043,116,L019,1,待确认,志愿匹配,
P0044,116,L018,2,待确认,志愿匹配,
P0045,116,L020,3,待确认,志愿匹配,
P0046,127,X020,1,待确认,志愿匹配,
P0047,127,X019,2,待确认,志愿匹配,
P0048,127,X018,3,待确认,志愿匹配,
P0049,146,X004,1,待确认,志愿匹配,
P0050,146,X002,2,待确认,志愿匹配,
P0051,146,X003,3,待确认,志愿匹配,
P0052,389,L003,1,待确认,志愿匹配,
P0053,389,L001,2,待确认,志愿匹配,
P0054,389,L002,3,待确认,志愿匹配,
P0055,720,L006,1,待确认,志愿匹配,
P0056,720,L004,2,待确认,志愿匹配,
P0057,720,L005,3,待确认,志愿匹配,
P0058,688,S002,1,待确认,志愿匹配,
P0059,688,S003,2,待确认,志愿匹配,
P0060,688,S001,3,待确认,志愿匹配,
